rank	title	author_name	year	n_citation
1589	Geometrical and Statistical Properties of Systems of Linear Inequalities with Applications in Pattern Recognition	Thomas M. Cover	1965	1669
1590	Liveboard: a large interactive display supporting group meetings, presentations, and remote collaboration	Scott A. Elrod	1992	578
1591	Initial Algebra Semantics and Continuous Algebras	Joseph A. Goguen	1977	1011
1592	Object Recognition as Machine Translation: Learning a Lexicon for a Fixed Image Vocabulary	Pinar Duygulu	2002	1833
1593	On the Encoding of Arbitrary Geometric Configurations	Herbert Freeman	1961	504
1594	Information theory	Jan C. A. van der Lubbe	1997	3925
1595	Graph Drawing: Algorithms for the Visualization of Graphs	Giuseppe Di Battista	1998	2934
1596	Analysis and visualization of classifier performance: comparison under imprecise class and cost distributions	Foster Provost	1997	869
1597	On the design and quantification of privacy preserving data mining algorithms	Dakshi Agrawal	2001	1165
1598	A Methodology for Collecting Valid Software Engineering Data	Victor R. Basili	1984	1353
1599	Towards automatic visual obstacle avoidance	Hans P. Morevec	1977	873
1600	miRBase: microRNA sequences, targets and gene nomenclature	Sam Griffiths-Jones	2006	3927
1601	Email overload: exploring personal information management of email	Steve Whittaker	1996	1204
1602	A new approach to visual servoing in robotics	Bernard Espiau	1992	1861
1603	Wireless mesh networks: a survey	Ian F. Akyildiz	2005	4843
1604	NiagaraCQ: a scalable continuous query system for Internet databases	Jian-Jun Chen	2000	1432
1605	Extended static checking for Java	Cormac Flanagan	2002	1403
1606	PREDICTING THE FUTURE: A CONNECTIONIST APPROACH	Andreas S. Weigend	1990	849
1607	Three Generative, Lexicalised Models for Statistical Parsing	Michael J. Collins	1997	1231
1608	The X window system	Robert W. Scheifler	1986	1717
1609	On the acceptability of arguments and its fundamental role in nonmonotonic reasoning, logic programming and n -person games	Phan Minh Dung	1995	3288
1610	N degrees of separation: multi-dimensional separation of concerns	Peri L. Tarr	1999	1855
1611	Transactional memory: architectural support for lock-free data structures	Maurice Herlihy	1993	2571
1612	Object modelling by registration of multiple range images	Y. Chen	1992	3278
1613	End-to-end internet packet dynamics	Vern Paxson	1999	1018
1614	A taxonomy of web search	Andrei Z. Broder	2002	2226
1615	SRILM – An Extensible Language Modeling Toolkit	Andreas Stolcke	2002	4083
1616	Exact robot navigation using artificial potential functions	Elon Rimon	1992	1870
1617	An axiomatic proof technique for parallel programs I	Susan S. Owicki	1976	1315
1618	Consumer Acceptance of Electronic Commerce: Integrating Trust and Risk with the Technology Acceptance Model	Paul A. Pavlou	2003	4154
1619	Encrypted key exchange: password-based protocols secure against dictionary attacks	Steven Michael Bellovin	1992	1688
1620	Stabilization of linear systems with limited information	Nicola Elia	2001	362
1621	Investigating the energy consumption of a wireless network interface in an ad hoc networking environment	Laura Marie Feeney	2001	2134
1622	The case for geographical push-caching	James Gwertzman	1995	496
1623	Open Source Software and the Private-Collective Innovation Model: Issues for Organization Science	Eric von Hippel	2003	2252
1624	A new approach to the maximum-flow problem	Andrew V. Goldberg	1988	1654
1625	A review of target decomposition theorems in radar polarimetry	S.R. Cloude	1996	1972
1626	A technique for software module specification with examples	David Lorge Parnas	1972	982
1627	Performance analysis of the CONFIDANT protocol	Sonja Buchegger	2002	2652
1628	Security-control methods for statistical databases: a comparative study	Nabil R. Adam	1989	806
1629	Definite clause grammars for language analysis—A survey of the formalism and a comparison with augmented transition networks	Fernando Pereira	1980	1543
1630	The DET Curve in Assessment of Detection Task Performance	Alvin F. Martin	1997	985
1631	A Comparison of Affine Region Detectors	Krystian Mikolajczyk	2005	3233
1632	Maximum Entropy Markov Models for Information Extraction and Segmentation	Andrew McCallum	2000	1444
1633	How Practical is Network Coding	Mea Wang	2006	2054
1634	The flooding time synchronization protocol	Miklós Maróti	2004	2506
1635	Photobook: tools for content-based manipulation of image databases	Alex Pentland	1996	1144
1636	Timing analysis of computer hardware	Robert B. Hitchcock	1982	295
1637	Maximum likelihood linear regression for speaker adaptation of continuous density hidden Markov models	Chris Leggetter	1995	2961
1638	THE COMPLEXITY OF ENUMERATION AND RELIABILITY PROBLEMS	Leslie G. Valiant	1979	1201
1639	Grapevine: an exercise in distributed computing	Andrew Birrell	1982	713
1640	Noncooperative Cellular Wireless with Unlimited Numbers of Base Station Antennas	Thomas L. Marzetta	2010	1444
1641	Coupled hidden Markov models for complex action recognition	Matthew Brand	1997	1248
1642	On the Design and Development of Program Families	David Lorge Parnas	1976	1159
1643	Greening of the internet	Maruti Gupta	2003	1015
1644	Neural Network Ensembles, Cross Validation, and Active Learning	Anders Krogh	1995	1747
1645	Virtual environment display system	Scott S. Fisher	1987	789
1646	Some complexity questions related to distributive computing(Preliminary Report)	Andrew Chi-Chih Yao	1979	900
1647	Information diffusion through blogspace	Daniel Gruhl	2004	1383
1648	Productivity, business profitability, and consumer surplus: three different measures of information technology value	Lorin M. Hitt	1996	2007
1649	Efficiency and Cost of Economical Brain Functional Networks	Sophie Achard	2007	1177
1650	Why Johnny can't encrypt: a usability evaluation of PGP 5.0	Alma Whitten	1999	1084
1651	TCP Vegas: end to end congestion avoidance on a global Internet	Lawrence S. Brakmo	1995	2238
1652	Flocking in Fixed and Switching Networks	Herbert G. Tanner	2007	1254
1653	Ray tracing volume densities	James T. Kajiya	1984	380
1654	Toward a theory of fuzzy information granulation and its centrality in human reasoning and fuzzy logic	Lotfi A. Zadeh	1997	2571
1655	Efficient Identification and Signatures for Smart Cards	Claus-Peter Schnorr	1989	1125
1656	Technical Note Q-Learning	Chris Watkins	1992	2855
1657	ICONDENSATION: Unifying Low-Level and High-Level Tracking in a Stochastic Framework	Michael Isard	1998	845
1658	Just relax: convex programming methods for identifying sparse signals in noise	Joel A. Tropp	2006	1265
1659	Finite-Time Stability of Continuous Autonomous Systems	Sanjay P. Bhat	2000	1825
1660	Operating Systems Theory	Edward G. Coffman	1973	1154
1661	Predictive models for the breeder genetic algorithm i. continuous parameter optimization	Heinz Mühlenbein	1993	1423
1662	Learning Overcomplete Representations	Michael S. Lewicki	2000	1211
1663	A logic of authentication	Michael Burrows	1989	1000
1664	Implementation techniques for main memory database systems	David J. DeWitt	1984	1046
1665	Voltage scheduling problem for dynamically variable voltage processors	Tohru Ishihara	1998	911
1666	Large steps in cloth simulation	David Baraff	1998	1301
1667	Efficient Modulation for Band-Limited Channels	G.D. Forney	1984	669
1668	Route Optimization for Mobile IP	Charles E. Perkins	1998	683
1669	Propositional dynamic logic of regular programs	Michael J. Fischer	1979	1291
1670	An Operator Which Locates Edges in Digitized Pictures	Manfred H. Hueckel	1971	482
1671	Enhanced hypertext categorization using hyperlinks	Soumen Chakrabarti	1998	1079
1672	FastMap: a fast algorithm for indexing, data-mining and visualization of traditional and multimedia datasets	Christos Faloutsos	1995	1341
1673	The emerging role of electronic marketplaces on the Internet	Yannis Bakos	1998	1997
1674	Perceptual image distortion	Patrick C. Teo	1994	650
1675	The dining cryptographers problem: unconditional sender and recipient untraceability	David Chaum	1988	1529
1676	Locally Weighted Learning	Christopher G. Atkeson	1997	2260
1677	Interaction and outeraction: instant messaging in action	Bonnie A. Nardi	2000	1430
1678	Co‐citation in the scientific literature: A new measure of the relationship between two documents	Henry Small	1973	639
1679	The quest for security in mobile ad hoc networks	Jean-Pierre Hubaux	2001	1164
1680	State transition analysis: a rule-based intrusion detection approach	Koral Ilgun	1995	963
1681	Data Structures for Range Searching	Jon Louis Bentley	1979	566
1682	Being there: the subjective experience of presence	Carrie Heeter	1992	217
1683	K-Means-Type Algorithms: A Generalized Convergence Theorem and Characterization of Local Optimality	Shokri Z. Selim	1984	1186
1684	Agile application-aware adaptation for mobility	Brian D. Noble	1997	962
1685	Robust Solutions to Uncertain Semidefinite Programs	Laurent El Ghaoui	1998	951
1686	Strategies for information requirements determination	Gordon B. Davis	1982	813
1687	Implementing fault-tolerant services using the state machine approach: a tutorial	Fred B. Schneider	1990	1587
1688	Systematic design of program analysis frameworks	Patrick Cousot	1979	1721
1689	The source code control system	Marc J. Rochkind	1975	727
1690	Trawling the Web for emerging cyber-communities	Ravi Kumar	1999	1393
1691	Texture analysis and classification with tree-structured wavelet transform	T. N. Chang	1993	1921
1692	Revised report on the algorithm language ALGOL 60	John Backus	1963	312
1693	Input space versus feature space in kernel-based methods	Bernhard Schölkopf	1999	532
1694	Non-negative Matrix Factorization with Sparseness Constraints	Patrik O. Hoyer	2004	2405
1695	Social cognitive theory and individual reactions to computing technology: a longitudinal study	Deborah R. Compeau	1999	2502
1696	Solutions to hidden terminal problems in wireless networks	Chane L. Fullmer	1997	463
1697	On the bursty evolution of blogspace	Ravi Kumar	2003	798
1698	A Comparative Analysis of Selection Schemes Used in Genetic Algorithms	David E. Goldberg	1991	2614
1699	Multilevel computational processes for visual surface reconstruction	Demetri Terzopoulos	1983	417
1700	On the robustness of ultra-wide bandwidth signals in dense multipath environments	Moe Z. Win	1998	628
1701	Vienna RNA secondary structure server	Ivo L. Hofacker	2003	1963
1702	VL2: a scalable and flexible data center network	Albert G. Greenberg	2009	1936
1703	How a Cockpit Remembers Its Speeds	Edwin Hutchins	1995	1886
1704	Efficient Planarity Testing	John E. Hopcroft	1974	1157
1705	Bidirectional associative memories	Bart Kosko	1988	2389
1706	An Introduction to Variational Methods for Graphical Models	Michael I. Jordan	1999	2617
1707	Intrusion detection in wireless ad-hoc networks	Yongguang Zhang	2000	1601
1708	Image matching as a diffusion process: an analogy with Maxwell's demons	Jean-Philippe Thirion	1998	1209
1709	A theory of software reliability and its application	John D. Musa	1975	453
1710	Using adaptive tracking to classify and monitor activities in a site	W.E.L. Grimson	1998	796
1711	Fuzzy Mathematical Models in Engineering and Management Science	A. Kaufmann	1988	1452
1712	ML estimation of time and frequency offset in OFDM systems	J.J. van de Beek	1997	2926
1713	Concurrency Control in Distributed Database Systems	Philip A. Bernstein	1981	848
1714	Morphological grayscale reconstruction in image analysis: applications and efficient algorithms	Luc Vincent	1993	1100
1715	The computational complexity of probabilistic inference using Bayesian belief networks (research note)	Gregory F. Cooper	1990	664
1716	Digital libraries and autonomous citation indexing	Steve Lawrence	1999	938
1717	Applying the Technology Acceptance Model and Flow Theory to Online Consumer Behavior	Marios Koufaris	2002	2823
1718	A fast algorithm for the minimum covariance determinant estimator	Peter J. Rousseeuw	1999	1689
1719	Measurements of a distributed file system	Mary Baker	1991	808
1720	Bundle Adjustment - A Modern Synthesis	Bill Triggs	1999	3582
1721	An Algorithm for Path Connections and Its Applications	C. Y. Lee	1961	1753
1722	The implementation of business process reengineering	Varun Grover	1995	729
1723	Invariant image recognition by Zernike moments	Alireza Khotanzad	1990	2191
1724	Animating facial expressions	Stephen M. Platt	1981	661
1725	Some advances in transformation-based part of speech tagging	Eric Brill	1994	752
1726	Support vector learning	B Schölkopf	1997	2641
1727	New Support Vector Algorithms	Bernhard Schölkopf	2000	2548
1728	Algebraic laws for nondeterminism and concurrency	Matthew Hennessy	1985	1657
1729	Biclustering of Expression Data	Yizong Cheng	2000	2208
1730	Automated Docking Using a Lamarckian Genetic Algorithm and an Empirical Binding Free Energy Function	Garrett M. Morris	1998	8355
1731	A face(book) in the crowd: social Searching vs. social browsing	Cliff Lampe	2006	1551
1732	On Certain Formal Properties of Grammars	Noam Chomsky	1959	1050
1733	Nonlinear control design for slightly non-minimum phase systems: application to V/STOL aircraft	J. Hauser	1992	659
1734	On-line fingerprint verification	Anil K. Jain	1997	1925
1735	Specification and verification of concurrent systems in CESAR	Jean-Pierre Queille	1982	1809
1736	An Algorithm for Subgraph Isomorphism	Julian R. Ullmann	1976	1315
1737	How much training is needed in multiple-antenna wireless links?	Babak Hassibi	2003	1896
1738	Semantic database modeling: survey, applications, and research issues	Richard Hull	1987	1825
1739	FatiGO: a web tool for finding significant associations of Gene Ontology terms with groups of genes	Fátima Al-Shahrour	2004	1151
1740	TCP and explicit congestion notification	Sally Floyd	1994	432
1741	The simulation and evaluation of dynamic voltage scaling algorithms	Trevor Pering	1998	589
1742	Decorrelating decision-feedback multiuser detector for synchronous code-division multiple-access channel	Alexandra Duel-Hallen	1993	800
1743	Re-tiling polygonal surfaces	Greg Turk	1992	1184
1744	Adaptive Noise Smoothing Filter for Images with Signal-Dependent Noise	Darwin T. Kuan	1985	792
1745	Analysis and synthesis of facial image sequences using physical and anatomical models	Demetri Terzopoulos	1993	766
1746	People, places, things: Web presence for the real world	Tim Kindberg	2000	868
1747	Feature Selection for SVMs	Jason Weston	2001	1112
1748	Relevance feedback: a power tool for interactive content-based image retrieval	Yong Rui	1998	2296
1749	Fast algorithms for finding nearest common ancestors	Dov Harel	1984	885
1750	Dummynet: a simple approach to the evaluation of network protocols	Luigi Rizzo	1997	1224
1751	Caching in the Sprite network file system	Michael N. Nelson	1988	722
1752	The information bottleneck method	Naftali Tishby	2000	1576
1753	An automated method for finding molecular complexes in large protein interaction networks	Gary D. Bader	2003	2023
1754	Access and Alignment of Data in an Array Processor	Duncan H. Lawrie	1975	1684
1755	Short Signatures from the Weil Pairing	Dan Boneh	2001	2805
1756	The part-time parliament	Leslie Lamport	1998	2371
1757	Photo tourism: exploring photo collections in 3D	Noah Snavely	2006	3008
1758	Virtual network computing	Tristan Richardson	1998	1452
1759	Robust text-independent speaker identification using Gaussian mixture speaker models	Douglas A. Reynolds	1995	3271
1760	Model-based vision: a program to see a walking person	David C. Hogg	1983	661
1761	A perspective on multiaccess channels	Robert G. Gallager	1985	765
1762	The CHC Adaptive Search Algorithm: How to Have Safe Search When Engaging in Nontraditional Genetic Recombination	Larry J. Eshelman	1991	1282
1763	A non-line-of-sight error mitigation algorithm in location estimation	Pi-Chun Chen	1999	207
1764	The estimation of the gradient of a density function, with applications in pattern recognition	Keinosuke Fukunaga	1975	2844
1765	Error Probabilities for Binary Direct-Sequence Spread-Spectrum Communications with Random Signature Sequences	James S. Lehnert	1987	558
1766	Local Features and Kernels for Classification of Texture and Object Categories: A Comprehensive Study	Jianguo Zhang	2007	2034
1767	The Earth Mover''s Distance as a Metric for Image Retrieval	Yossi Rubner	2000	1218
1768	Stereo from uncalibrated cameras	Richard I. Hartley	1992	646
1769	Creation of favorable user perceptions: exploring the role of intrinsic motivation	Viswanath Venkatesh	1999	1672
1770	Symbolic Model Checking without BDDs	Armin Biere	1999	2357
1771	The Tera computer system	Robert L. Alverson	1990	1137
1772	Using cache memory to reduce processor-memory traffic	James R. Goodman	1983	620
1773	Toward machine emotional intelligence: analysis of affective physiological state	Rosalind W. Picard	2001	1820
1774	Enumerative source encoding	Thomas M. Cover	1973	587
1775	Place lab: device positioning using radio beacons in the wild	Anthony LaMarca	2005	1346
1776	Fuzzy identity-based encryption	Amit Sahai	2005	3244
1777	Building efficient wireless sensor networks with low-level naming	John S. Heidemann	2001	910
1778	TelegraphCQ: Continuous Dataflow Processing for an Uncertain World.	Sirish Chandrasekaran	2003	1507
1779	Disk striping	Kenneth Salem	1986	475
1780	Efficient color histogram indexing for quadratic form distance functions	James Lee Hafner	1995	1093
1781	Video as a technology for informal communication	Robert S. Fish	1993	381
1782	Temperature-aware microarchitecture	Kevin Skadron	2003	1272
1783	Temporal verification of reactive systems: safety	Zohar Manna	1995	1345
1784	Why Aren't Operating Systems Getting Faster As Fast as Hardware?	John K. Ousterhout	1990	528
1785	Active learning with statistical models	David Cohn	1996	1564
1786	Knowledge-based augmented reality	Steven Feiner	1993	1187
1787	On Model Selection Consistency of Lasso	Peng Zhao	2006	1562
1788	ASK FOR INFORMATION RETRIEVAL: PART I. BACKGROUND AND THEORY	Robert N. Oddy	1982	1414
1789	Proving termination with multiset orderings	Nachum Dershowitz	1979	629
1790	How to construct pseudorandom permutations from pseudorandom functions	Michael Luby	1988	748
1791	Polynomial-time algorithms for permutation groups	Merrick L. Furst	1980	236
1792	Recovering surface shape and orientation from texture	Andrew P. Witkin	1981	615
1793	Query expansion using local and global document analysis	Jinxi Xu	1996	1686
1794	Techniques for data hiding	Walter Bender	1995	1527
1795	Improving the performance of reliable transport protocols in mobile computing environments	Ramón Cáceres	1995	843
1796	TnT -- A Statistical Part-of-Speech Tagger	Thorsten Brants	2000	593
1797	Multivalued dependencies and a new normal form for relational databases	Ronald Fagin	1977	822
1798	Workflow Management: Modeling Concepts, Architecture, and Implementation	Stefan Jablonski	1996	1078
1799	The Dexter hypertext reference model	Frank G. Halasz	1994	1659
1800	Multi-channel mac for ad hoc networks: handling multi-channel hidden terminals using a single transceiver	Jungmin So	2004	1698
1801	Efficient region tracking with parametric models of geometry and illumination	Gregory D. Hager	1998	1479
1802	A comparison of input devices in element pointing and dragging tasks	I. Scott MacKenzie	1991	519
1803	Directed diffusion for wireless sensor networking	Chalermek Intanagonwiwat	2003	6950
1804	The blocker tag: selective blocking of RFID tags for consumer privacy	Ari Juels	2003	1210
1805	Information-based objective functions for active data selection	David J. C. MacKay	1992	1020
1806	A correspondence between ALGOL 60 and Church's Lambda-notations: Part II	Peter J. Landin	1965	509
1807	Pervasive computing: vision and challenges	Mahadev Satyanarayanan	2001	3065
1808	Suffix arrays: a new method for on-line string searches	Udi Manber	1993	2407
1809	Strongly Regular Generalized Equations	Stephen M. Robinson	1980	991
1810	IP-based protocols for mobile internetworking	John Ioannidis	1991	564
1811	The Traveling Salesman Problem: A Survey	Mandell Bellmore	1968	624
1812	An investigation of niche and species formation in genetic function optimization	Kalyanmoy Deb	1989	1258
1813	Atomic Decomposition by Basis Pursuit	Scott Shaobing Chen	2001	10424
1814	Image denoising using scale mixtures of Gaussians in the wavelet domain	Javier Portilla	2003	2281
1815	Control of systems integrating logic, dynamics, and constraints	Alberto Bemporad	1999	2674
1816	Constraint satisfaction in logic programming	Pascal Van Hentenryck	1989	1932
1817	Generating project networks	Austin Tate	1977	932
1818	Power provisioning for a warehouse-sized computer	Xiaobo Fan	2007	1772
1819	“Put-that-there”: Voice and gesture at the graphics interface	Richard A. Bolt	1980	1914
1820	Further Normalization of the Data Base Relational Model	E. F. Codd	1972	804
1821	Electronic shopping	Gerald L. Lohse	1998	739
1822	Quantifier guided aggregation using OWA operators	Ronald R. Yager	1996	945
1823	Contributions to the Theory of Logic Programming	Krzysztof R. Apt	1982	878
1824	Object-oriented programming: Themes and variations	Mark Stefik	1986	1156
1825	Hierarchical geometric models for visible surface algorithms	James H. Clark	1976	799
1826	Mobile robot localization by tracking geometric beacons	John J. Leonard	1991	1570
1827	DNA binding sites: representation and discovery	Gary D. Stormo	2000	1543
1828	Inertial navigation systems for mobile robots	Billur Barshan	1995	839
1829	Recent trends in hierarchic document clustering: a critical review	Peter Willett	1988	1092
1830	Very Simple Classification Rules Perform Well on Most Commonly Used Datasets	Robert C. Holte	1993	1918
1831	Predictors of online buying behavior	Steven Bellman	1999	1147
1832	Stability analysis of delayed cellular neural networks	Jinde Cao	1998	355
1833	ELIZA — a computer program for the study of natural language communication between man and machine	Joseph Weizenbaum	1966	2174
1834	Image coding using vector quantization: a review	Nasser M. Nasrabadi	1988	1358
1835	Iterative correction of intersymbol interference: Turbo‐equalization	Catherine Douillard	1995	546
1836	Crowdsourcing user studies with Mechanical Turk	Aniket Kittur	2008	1464
1837	Fast texture synthesis using tree-structured vector quantization	Li-Yi Wei	2000	1681
1838	Finding interesting rules from large sets of discovered association rules	Mika Klemettinen	1994	1000
1839	Achievable rates for multiple descriptions	Abbas El Gamal	1982	537
1840	An approach to the formal analysis of user complexity	David E. Kieras	1999	858
1841	Heuristic classification	William J. Clancey	1985	1816
1842	Semantical considerations on nonmonotonic logic	Robert C. Moore	1985	1628
1843	The KEGG databases at GenomeNet	Minoru Kanehisa	2002	1270
1844	Improving neural networks by preventing co-adaptation of feature detectors	Geoffrey E. Hinton	2012	2645
1845	The small-world phenomenon: an algorithmic perspective	Jon M. Kleinberg	2000	2406
1846	Competition between functional brain networks mediates behavioral variability.	A. M. Clare Kelly	2008	810
1847	Time-delay systems: an overview of some recent advances and open problems	Jean-Pierre Richard	2003	2731
1848	A data structure for dynamic trees	Daniel Dominic Sleator	1983	735
1849	A head-mounted three dimensional display	Ivan E. Sutherland	1968	1190
1850	A scalable comparison-shopping agent for the World-Wide Web	Robert B. Doorenbos	1997	862
1851	A unified approach to global program optimization	Gary A. Kildall	1973	935
1852	Routing with guaranteed delivery in ad hoc wireless networks	Prosenjit Bose	1999	788
1853	Computer systems that learn: classification and prediction methods from statistics, neural nets, machine learning, and expert systems	Sholom M. Weiss	1991	980
1854	Iterative methods for variational and complementarity problems	Jong-Shi Pang	1982	404
1855	A digital fountain approach to reliable distribution of bulk data	John W. Byers	1998	1590
1856	Tree visualization with tree-maps: 2-d space-filling approach	Ben Shneiderman	1992	1726
1857	Information diffusion through blogspace	Daniel Gruhl	2004	1424
1858	Workflow mining: a survey of issues and approaches	van der Wmp Wil Aalst	2003	1251
1859	The performance of TCP/IP for networks with high bandwidth-delay products and random loss	T. V. Lakshman	1997	1312
1860	Discovering Frequent Episodes in Sequences.	Heikki Mannila	1995	847
1861	Footprint evaluation for volume rendering	Lee Westover	1990	555
1862	Optimal scheduling for two-processor systems	G Edward Coffman	1972	757
1863	A theory of multirate filter banks	Martin Vetterli	1987	555
1864	Use of Elliptic Curves in Cryptography	Victor S. Miller	1985	4719
1865	GPS-free Positioning in Mobile Ad Hoc Networks	Srdjan Capkun	2002	1680
1866	Factorial Hidden Markov Models	Zoubin Ghahramani	1996	1328
1867	Enhancement of speech corrupted by acoustic noise	Michael G. Berouti	1979	1431
1868	Robot motion planning: a distributed representation approach	Jérôme Barraquand	1991	1199
1869	Inferring activities from interactions with objects	Matthai Philipose	2004	991
1870	Developing a context-aware electronic tourist guide: some issues and experiences	Keith Cheverst	2000	1331
1871	IMPACT: an interactive natural-motion-picture dedicated multimedia authoring system	Hirotada Ueda	1991	318
1872	False data injection attacks against state estimation in electric power grids	Yao Liu	2009	1226
1873	Proving Liveness Properties of Concurrent Programs	Susan S. Owicki	1982	761
1874	Relevance based language models	Victor Lavrenko	2001	1435
1875	Issues in the design of group decision support systems	George P. Huber	1984	707
1876	I tube, you tube, everybody tubes: analyzing the world's largest user generated content video system	Meeyoung Cha	2007	1801
1877	Measurement and modeling of McKibben pneumatic artificial muscles	C.K. Chou	1996	1097
1878	Greedy Layer-Wise Training of Deep Networks	Yoshua Bengio	2007	2931
1879	A blueprint for introducing disruptive technology into the Internet	Larry L. Peterson	2003	1042
1880	UCSF CHIMERA-A VISUALIZATION SYSTEM FOR EXPLORATORY RESEARCH AND ANALYSIS	Eric F. Pettersen	2004	4030
1881	A Hirsch-type index for journals	Tibor Braun	2006	568
1882	Active Matching	Margarita Chli	2008	1178
1883	Scalable high speed IP routing lookups	Marcel Waldvogel	1997	975
1884	The dynamics of viral marketing	Jure Leskovec	2006	870
1885	Estimation of standby leakage power in CMOS circuits considering accurate modeling of transistor stacks	Zhanping Chen	1998	418
1886	A fuzzy commitment scheme	Ari Juels	1999	1498
1887	The structure and dynamics of networks	M. E. J. Newman	2006	2784
1888	The pyramid match kernel: discriminative classification with sets of image features	Kristen Grauman	2005	1625
1889	A second-order accurate numerical approximation for the fractional diffusion equation	Charles Tadjeran	2006	445
1890	Bit-interleaved coded modulation	Giuseppe Caire	1997	3470
1891	Measuring user influence in Twitter : the million follower fallacy	Meeyoung Cha	2010	2860
1892	Robotics-based location sensing using wireless ethernet	Andrew M. Ladd	2002	751
1893	Differential Fault Analysis of Secret Key Cryptosystems	Eli Biham	1997	788
1894	An analysis of time-dependent planning	Thomas Dean	1988	1208
1895	Sufficient lyapunov-like conditions for stabilization	John Tsinias	1989	345
1896	Bluetooth: vision, goals, and architecture	Jaap C. Haartsen	1998	380
1897	Global Convergence Properties of Conjugate Gradient Methods for Optimization	Jean Charles Gilbert	1992	1001
1898	Navigation for an intelligent mobile robot	James L. Crowley	1985	688
1899	Actions as space-time shapes	Moshe Blank	2005	2715
1900	Fast Probabilistic Algorithms for Verification of Polynomial Identities	Jacob T. Schwartz	1980	1490
1901	Neural networks for control systems: a survey	Kenneth J. Hunt	1992	2128
1902	Generalization by Weight-Elimination with Application to Forecasting	Andreas S. Weigend	1991	547
1903	An Investigation of Smoothness Constraints for the Estimation of Displacement Vector Fields from Image Sequences	Hans-Hellmut Nagel	1986	994
1904	Characterizing browsing strategies in the World-Wide Web	Lara D. Catledge	1995	1481
1905	Bandera: extracting finite-state models from Java source code	James C. Corbett	2000	1383
1906	PVM: a framework for parallel distributed computing	Vaidy S. Sunderam	1990	1973
1907	The many faces of publish/subscribe	Patrick Eugster	2003	1308
1908	Multiple Criteria Decision Analysis: An Integrated Approach	Valerie Belton	2002	3136
1909	Fuzzy ARTMAP: A neural network architecture for incremental supervised learning of analog multidimensional maps	Gail A. Carpenter	1992	2421
1910	Coping with systems risk: security planning models for management decision making	Detmar W. Straub	1998	855
1911	Efficient power control via pricing in wireless data networks	Cem U. Saraydar	2002	1551
1912	Probabilistic visual learning for object detection	Baback Moghaddam	1995	517
1913	RCS—a system for version control	Walter F. Tichy	1985	1338
1914	Critical Issues Affecting an ERP Implementation	Prasad Bingi	1999	1017
1915	Knowledge management systems: issues, challenges, and benefits	Maryam Alavi	1999	2044
1916	Multidimensional access methods	Volker Gaede	1998	2230
1917	Max-Margin Markov Networks	Benjamin Taskar	2004	1426
1918	Constructive Interaction and the Iterative Process of Understanding	Naomi Miyake	1986	149
1919	Euclidean Reconstruction from Uncalibrated Views	Richard I. Hartley	1993	581
1920	An analysis of Bayesian classifiers	Pat Langley	1992	1485
1921	BraMBLe: a Bayesian multiple-blob tracker	Michael Isard	2001	856
1922	Resource-constrained project scheduling : Notation, classification, models, and methods	Peter Brucker	1999	1796
1923	On Non-Functional Requirements in Software Engineering	Lawrence Chung	2009	1873
1924	TSPLIB—A Traveling Salesman Problem Library	Gerhard Reinelt	1991	1332
1925	Bagging, boosting, and C4.S	J. R. Quinlan	1996	567
1926	A System to Generate Test Data and Symbolically Execute Programs	Lori A. Clarke	1976	883
1927	Bursty and hierarchical structure in streams	Jon M. Kleinberg	2002	1788
1928	Breaking and Fixing the Needham-Schroeder Public-key Protocol Using FDR	Gavin Lowe	1996	1465
1929	A new remote user authentication scheme using smart cards	Min-Shiang Hwang	2000	909
1930	Fast Similarity Search in the Presence of Noise, Scaling, and Translation in Time-Series Databases	Rakesh Agrawal	1995	376
1931	Characterizing reference locality in the WWW	V. Almeida	1996	661
1932	Grid information services for distributed resource sharing	Karl Czajkowski	2001	2202
1933	Integrated coverage and connectivity configuration in wireless sensor networks	Xiaorui Wang	2003	1539
1934	The Relevance Vector Machine	Michael E. Tipping	2000	693
1935	Non-Interactive and Information-Theoretic Secure Verifiable Secret Sharing	Torben P. Pedersen	1991	1922
1936	Three-dimensional object recognition from single two-dimensional images	David G. Lowe	1987	1752
1937	Correlation Matrix Memories	Teuvo Kohonen	1972	1032
1938	Automated packet trace analysis of TCP implementations	Vern Paxson	1997	373
1939	Experiences in the use of a media space	Marilyn M. Mantei	1991	443
1940	Ad hoc positioning system (APS) using AOA	Dragos Niculescu	2003	2609
1941	Amazon.com recommendations: item-to-item collaborative filtering	Greg Linden	2003	1619
1942	Improving the resolution performance of eigenstructure-based direction-finding algorithms	Arthur Jay Barabell	1983	856
1943	Software protection and simulation on oblivious RAMs	Oded Goldreich	1996	963
1944	Parameter estimation of superimposed signals using the EM algorithm	Meir Feder	1988	858
1945	Modeling annotated data	David M. Blei	2003	1175
1946	A Bayesian computer vision system for modeling human interactions	Nuria Oliver	2000	1657
1947	A resource-based perspective on information technology capability and firm performance: an empirical investigation	Anandhi Bharadwaj	2000	4536
1948	Learning state space trajectories in recurrent neural networks	Barak A. Pearlmutter	1989	783
1949	Fundamentals of computer algorithms	Ellis Horowitz	1979	2048
1950	Optimal Search in Planar Subdivisions	David G. Kirkpatrick	1981	379
1951	Determining the sentiment of opinions	Soo-Min Kim	2004	1589
